url,description,source_query
https://chatgpt.com/g/g-00Nu0FoNA-nsf-proposal-partner,"I'm your assistant for writing NSF grant proposals. I am trained on past successful proposals. Your ideas are safe, our conversation will not be used by ...",chatgpt g-00Nu0FoNA nsf proposal partner
https://chatgpt.com/g/g-00O3SsMuz-sap-consultant,GPT Icon. SAP Consultant. By Thomas Biber Deutschland GmbH. Ask me something about SAP and I will help you. Sign up to chat. Sign up or Log in to chat.,chatgpt g-00O3SsMuz sap consultant
https://chatgpt.com/g/g-03DdO7Hng-career-planner,Get a Growth oriented career roadmap across any professional spectrum.,chatgpt g-67e10922bf00819182bf38f6cbdf8a48 strategic career planner
https://chatgpt.com/g/g-0A1vtZdVW-digital-marketing-guru,"Digital Marketing Guru. By Sivakumar Nagapandi. Friendly and in-depth digital marketing expert, adaptable to user needs. Sign up to chat.",chatgpt g-0A1vtZdVW digital marketing guru
https://chatgpt.com/g/g-0DxZTgo0i-business-lookup,Business Lookup. By ai-gen.co. Helps locate stores and businesses informatively. How can I find a nearby pharmacy? What tools are best for business lookup?,chatgpt g-0DxZTgo0i business lookup
https://chatgpt.com/g/g-0KT41poS5-seer-ai-marketing-apocalypse-survival-guide,Seer AI Marketing Apocalypse Survival Guide5. Log in. Sign up for free. GPT Icon. Seer AI Marketing Apocalypse Survival Guide. By stephan bajaio. Interactive ...,chatgpt g-0KT41poS5 seer ai marketing apocalypse survival guide
https://chatgpt.com/g/g-0OZkwVSeZ-heart,"Friendly and casual, focusing on support and stress management, avoids professional advice.",chatgpt g-67365538361481909e7ecf5d1ce3426b heartwired
https://chatgpt.com/g/g-0UCvvoKnA-quick-pdf-to-spreadsheet,By community builder. I'm professional and user-friendly in PDF to Excel conversions. Sign up to chat. Sign up or Log in to chat.,chatgpt g-0UCvvoKnA quick pdf to spreadsheet
https://chatgpt.com/g/g-0ePEK7fCv-strategos-prime,"Counter-strike 2 CS2 data-driven strategist. Analyze CS2 weapon stats. CS2 map strategy based on recent data? By messaging ChatGPT, an AI chatbot, ...",chatgpt g-0ePEK7fCv strategos prime
https://chatgpt.com/g/g-0hJWKDJaH-dream-customer-finder,Helps users define their dream customer based on 'DOTCOM Secrets' by Russell Brunson. Describe your business for a customer profile.,chatgpt g-68b0d8ca642c8191b76705f51ca459b6 dream client findr
https://chatgpt.com/g/g-0m8kVNGuP-yc-group-partner,YC Group Partner. By Adam Williams. YC-style advice tailored to your startup's current scale. Sign up to chat. Sign up or Log in to chat.,chatgpt g-0m8kVNGuP yc group partner
https://chatgpt.com/g/g-0nPXXPUdd-your-sales-riflescope,"Before you submit, please check GPT Finder. Submit your GPTs here https://chatgpt.com/g/g-0nPXXPUdd-your-sales-riflescope",chatgpt g-0nPXXPUdd your sales riflescope
https://chatgpt.com/g/g-0yI1mUVts-property-scout,Professional and direct real estate market analyst for Zillow investments. Sign up to chat. Sign up or Log in to chat.,chatgpt g-681f800961388191b2c0e8240b1d1edf real estate investing tech scout
https://chatgpt.com/g/g-1A4f91YZt-sales-role-play-buddy,"An advanced, voice-activated role-playing partner and real estate sales coach. USE IN VOICE MODE. Try for other industries too. START ROLE PLAY.",chatgpt g-0ryvzEezM marketing sales buddy
https://chatgpt.com/g/g-1BXlv3nXR,Your AI assistant for finding the perfect software solutions for any business. What tools should I consider for my enterprise SaaS startup?,chatgpt g-675dfeff30988191a90bdf5c9bbfd59a echelon suite
https://chatgpt.com/g/g-1HPQiABah-car-insurance-honolulu-hi,"Find car insurance in Honolulu, HI. Ai offers Car, Auto, Renters, and Business Insurance at great rates. Cheap car insurance in Honolulu, HI.",chatgpt g-1HPQiABah car insurance honolulu hi
https://chatgpt.com/g/g-1MVURumrm-essay-writer,Powerful AI Writer & Essay Writer - PDF Generator - Created by aidocmaker.com. Write an article on the benefits of ChatGPT in sales marketing.,chatgpt g-1MVURumrm essay writer
https://chatgpt.com/g/g-1NzegXwoM-business-plan-pitch-deck-builder-startup-advisor,"The Startup, Business Plan & Pitch Deck Specialist. Content for a high quality business plan & pitch deck. Market research, competitive research, SWOT analysis.",chatgpt g-1NzegXwoM business plan pitch deck builder startup advisor
https://chatgpt.com/g/g-1OR0Yd3Ck-professional-growth-coach,Professional Growth Coach,chatgpt g-1OR0Yd3Ck professional growth coach
https://chatgpt.com/g/g-1Q7BeIqC8-trend-analyst,"Analyzing startup trends with a focus on 2024 data, or 2023 if needed. Tell me about mergers and acquisitions in [industry].",chatgpt g-5A3UWk4em trend analyst investor
https://chatgpt.com/g/g-1S7OSBY8b-gptoracle-the-chief-information-officer-cio,"Strategic visionary in IT management, driving innovation and aligning technology with business goals to foster growth and efficiency.",chatgpt g-5OagK62FO gptoracle the chief information security officer
https://chatgpt.com/g/g-1XGd3uF1T-pitch-deck-gpt,ChatGPT. Sign up for free. GPT Icon. Pitch Deck GPT. By earthpilot.ai. World class pitch decks. Sign up to chat.,chatgpt g-67f2d71826bc8191b81eb91fcdf289a5 deckcoach
https://chatgpt.com/g/g-1aXIQfLJU-gptoracle-the-business-entrepreneur,"I'm your entrepreneurial guide, turning vision into venture with strategic insights and expert advice. Your interactions and files are strictly confidential ...",chatgpt g-1aXIQfLJU gptoracle the business entrepreneur
https://chatgpt.com/g/g-1ck7s5fox-genai-consultant,GenAI Consultant - ChatGPT,chatgpt g-1ck7s5fox genai consultant
https://chatgpt.com/g/g-1i7Bjryc5-startup-idea-pre-validation,Sanity check your idea before spending time and money on it. Validate my startup idea step by step. What key risks am I missing? Attach. Create image.,chatgpt g-6801341252b48191852cff04f0f401d2 startup idea evaluator
https://chatgpt.com/g/g-20hVxFjce-ship-captain-crew-commander-gpt,"Your maritime strategy and trivia matey! Plunge into naval tactics, lore, and history. Perfect for sailors and enthusiasts alike!",chatgpt g-5pVE0qjaM ship captain simulator
https://chatgpt.com/g/g-23MmQS8h5-ecommerce-manager,"Assists in buyer persona identification, clustering, lifetime value calculation, UI/UX improvement, marketing automation, digital marketing strategy, ...",chatgpt g-23MmQS8h5 e commerce manager
https://chatgpt.com/g/g-24coxrFqu-ai-proofreader,"Proofread your text with our AI Proofreader, a proofreading tool that checks grammar, syntax, and style. Ensures your writing is polished and professional.",chatgpt g-0nizGBj8r proofreader
https://chatgpt.com/g/g-2NMuPwyCJ-pitch-perfect,Refines pitches with slide-specific advice.,chatgpt g-2NMuPwyCJ pitch perfect
https://chatgpt.com/g/g-2dzwZuaT6-wealth-of-patience-funny-personal-finance,Find finance boring? Use your favourite pop culture references to help you navigate the daunting world of finance!,chatgpt g-2dzwZuaT6 wealth of patience personal finance advisor
https://chatgpt.com/g/g-2f2RihzdQ-vc-gpt,"Good morning, I am a VC investor. Do you want to pitch your startup? Attach. Create image. By messaging ChatGPT, an AI chatbot, you agree to our Terms and ...",chatgpt g-2f2RihzdQ vc gpt
https://chatgpt.com/g/g-2fBWvvwCt-sales-generator,Expert in crafting SEO-friendly product descriptions and marketing strategies. Can you analyze this product and suggest a marketing plan?,chatgpt g-2fBWvvwCt sales generator
https://chatgpt.com/g/g-2qhyXxlpE-personal-finance-calculator-ai,I'm your personal finance calculator! Your online finance assistant.,chatgpt g-6767de2ce4d48191bd5b97c7a8423dcd freelance calculator
https://chatgpt.com/g/g-2rEwwcy9c-finance,AI personal finance advisor offering tailored advice and insights. How can I budget better? What investment strategy suits me? Attach. Create image.,chatgpt g-679e9b1c0c50819195ca6f9e5373cbdf ap chicas financieras
https://chatgpt.com/g/g-2xP4GyLog-your-small-business-ai-advisor,Delivering practical advice for small businesses and teams getting started with AI. How can AI improve my small business? Can you suggest tools for AI ...,chatgpt g-2xP4GyLog your small business ai advisor
https://chatgpt.com/g/g-3HQ0lWqnK-business-finance,"Helps you with everything Business Finance (knowledge, charts, graphs, equations). How do you calculate free cashflow from a balance sheet and income statement?",chatgpt g-81BdggBV3 finance business finance
https://chatgpt.com/g/g-3MHjBa018-business-verbose-with-aiden-from-veedence,"See into the mind, and behind the curtain of ChatGPT's thought process when getting business help and advice. Short link -> GPTs4u.com/businessverbose.",chatgpt g-3MHjBa018 business verbose with aiden from veedence
https://chatgpt.com/g/g-3hwEB3pvr-ciso-assistant,"Assists in cybersecurity frameworks, email drafting, and technical advice on SaaS and cloud security. Explain GDPR's impact on cloud security.",chatgpt g-AInhlHTZG cyber security ciso assistant
https://chatgpt.com/g/g-3i3B0R0vQ-hire-guide,Recruitment consultant aiding in applicant review and tracking of the hiring process. Describe the job you're hiring for. Upload the applicant's files.,chatgpt g-3i3B0R0vQ hire guide
https://chatgpt.com/g/g-3wftX10sw-buffettgpt,This GPT searches for what Warren Buffet's advise would be on investment subjects using Berkshire shareholder letters and other sources.,chatgpt g-677947a2c7f4819181a650cb365805cd warren buffett gpt
https://chatgpt.com/g/g-3zO9IdQEe-business-idea-validator,"Validates business ideas with deep research, full viability scoring, and investor-level analysis. Validate this startup idea: AI for personal health ...",chatgpt g-680100d87ae881918c6b1d20d1fc1c96 business validator
https://chatgpt.com/g/g-4IzBrXI7y-ip-assessor-lv3-7,ChatGPT. Sign up for free. GPT Icon. ip Assessor lv3.7. By probsolvio.com. Professional IP analysis and identification. Sign up to chat.,chatgpt g-4IzBrXI7y ip assessor lv3 7
https://chatgpt.com/g/g-4Oy0wEYqz-job-finder,Professional job search assistant providing tailored job opportunities. What type of job are you looking for? Do you have a preferred industry or location?,chatgpt g-4Oy0wEYqz job finder
https://chatgpt.com/g/g-4QXxeHUCZ-finance-bill-explainer,For those people who love to read; here's my version of FinanceBill custom.GPT https://chatgpt.com/g/g-4QXxeHUCZ-finance-bill-explainer…,chatgpt g-4QXxeHUCZ finance bill explainer
https://chatgpt.com/g/g-4XRlS6qLF-ax,"Strategic B2B Sales Advisor in Sean Ellis's style, offering practical, assertive advice. Tell me about your business sector and main challenges.",chatgpt g-4XRlS6qLF ax
https://chatgpt.com/g/g-4bHxEC6by-gptoracle-the-chief-information-officer-cio,"Strategic visionary in IT management, driving innovation and aligning technology with business goals to foster growth and efficiency. How to use this GPT.",chatgpt g-5OagK62FO gptoracle the chief information security officer
https://chatgpt.com/g/g-4cexyEGh8-investment-assistant-pro,Investment guidance based on market trends and risk level. What's a low-risk investment option now? Can you find high-return investments for high-risk ...,chatgpt g-67e11a942ae8819188886ee427038341 game investment
https://chatgpt.com/g/g-4ljIOTtx6-fire-starter,"Guides business, product, or passion project ideas into action. How do I start a business from my simple idea? What steps should I take to kickstart a side ...",chatgpt g-67f569660cec81918501e29c402870f8 the firebringer
