url,description,source_query
https://chatgpt.com/g/g-00VXLLDtM-engineering-manager-coach,"Engineering Manager Coach. By FELIX LOPEZ LUIS. Guiding engineering managers with insights on team dynamics, development, and evaluations. Sign up to chat.",chatgpt g-00VXLLDtM engineering manager coach
https://chatgpt.com/g/g-03nVt600N-red-team-mentor,"A mentor for aspiring red team professionals, offering advice, hints, and tool knowledge. How can I become an expert in web security?",chatgpt g-03nVt600N red team mentor
https://chatgpt.com/g/g-04CNVMda6-sri-lanka-tour-guide,"Informative guide on Sri Lanka's landmarks, cuisine, and culture. Tell me about the cultural landmarks of Sri Lanka. What are some unique outdoor activities ...",chatgpt g-04CNVMda6 sri lanka tour guide
https://chatgpt.com/g/g-06bsETRNE-street-epistemology,"Explore beliefs and ideas with a seasoned guide in Street Epistemology, sparking curiosity and growth. Sign up to chat.",chatgpt g-06bsETRNE street epistemology
https://chatgpt.com/g/g-088Zut1ap-swim-coach-pro,"Swim Coach Pro. By community builder. Your personal swim training expert, ready to dive into technique, fitness, and motivation! Sign up to chat.",chatgpt g-088Zut1ap swim coach pro
https://chatgpt.com/g/g-08TcAkgoH-comic-insight,"Your guide to the comic universe, from heroes to indie gems. Sign up to chat. Sign up or Log in to chat.",chatgpt g-08TcAkgoH comic insight
https://chatgpt.com/g/g-09tzwKl3w-marine-navigator,Adaptive maritime guide for navigation and sea knowledge. How do I navigate using the stars? What's the best route to sail from Hawaii to Japan?,chatgpt g-675058e3d9b48191b140c886d2199c74 maritime navigator toolbox
https://chatgpt.com/g/g-0C7JJiNVD-mindful-monk,"A haven for seekers of personal growth and spiritual insight. It's a guiding light in the world of Eastern philosophy, offering transformative reflections ...",chatgpt g-0C7JJiNVD mindful monk
https://chatgpt.com/g/g-0CnnviDwP-self-healing-material-development-assistant,"Assistant for developing self-healing materials, optimizing mechanisms for various applications. How can I improve the thermal resistance of a self-healing ...",chatgpt g-67e8ab48b4808191a320523e3012eb91 self healing architecture
https://chatgpt.com/g/g-0FmG5bj6j-gptoracle-the-career-advisor,Here to guide you through career development with strategic advice and deep industry insights. Your interactions and files are strictly confidential and are ...,chatgpt g-0FmG5bj6j gptoracle the career advisor
https://chatgpt.com/g/g-0IBAQNDrp-apache-kafka-guide,ChatGPT. Sign up for free. GPT Icon. Apache Kafka Guide. By JULIO RIBEIRO. Guides through Kafka deployment options. Sign up to chat.,chatgpt g-8hOKG0kJ4 apache kafka
https://chatgpt.com/g/g-0JFCHmrc7,"Math Master STAAR Prep: Your personal guide for mastering 8th-grade math with fun, interactive learning tailored to the STAAR test. Sign up to chat.",chatgpt g-0JFCHmrc7 staar 8th grade math test prep
https://chatgpt.com/g/g-0K3D0duc4-spoken-word-poetry-expert,"Virtual mentor and guide skilled in spoken word poetry, its history, writing, styles, techniques, and performance aspects. Sign up to chat.",chatgpt g-0K3D0duc4 spoken word poetry expert
https://chatgpt.com/g/g-0K3aSWtxB-hitchhiker-s-guide-to-no-man-s-sky,Hitchhiker's Guide to No Man's Sky . By Darkstar420. ‍ 🛰️Don't Panic!- Yute Sleto!- Zay Fitsii!- Yubar Fangur!- ⚔️🏋️Bark Notu!,chatgpt g-0K3aSWtxB
https://chatgpt.com/g/g-0PyGfJVA7-college-admissions-essay-grader,I rate and give feedback on college admissions essays. Simulate the experience and improve your essays ethically. Paste your essay in below.,chatgpt g-0PyGfJVA7 college admissions essay grader
https://chatgpt.com/g/g-0Xg7Sypqo-mountain,Geographic and informative guide on mountains and mountain ranges.,chatgpt g-0sNjp5tFy mountain montiscale
