url,description,source_query
https://chatgpt.com/g/g-09gpM0nTi-text-quest,"RPG ~Think tactic and defeat monsters! Game Start. Attach. By messaging ChatGPT, an AI chatbot, you agree to our Terms and have read our Privacy Policy.",chatgpt g-09gpM0nTi text quest
https://chatgpt.com/g/g-0Fs9nrTwD-game-pairing-bartender,"Game Pairing Bartender 🕹️ . By promptengineerlab.com. Sassy and humorous GPT pairing games with drinks, loves Fallout series. Drink responsibly.",chatgpt g-0Fs9nrTwD game pairing bartender
https://chatgpt.com/g/g-0GXFrxBBU-veilbound-,https://chatgpt.com/g/g-0GXFrxBBU-veilbound- infiniteshifts-rpg. ChatGPT - Veilbound Infiniteshifts RPG. CHATGPT.COM. ChatGPT - Veilbound Infiniteshifts RPG.,chatgpt g-0GXFrxBBU veilbound infiniteshifts rpg
https://chatgpt.com/g/g-0Hl1if0Ih-game-time,I provide sports schedules and game times based on your preferences. Sign up to chat. Sign up or Log in to chat.,chatgpt g-0Hl1if0Ih game time
https://chatgpt.com/g/g-0OqF8bmbr-om-landing-page-scorer,"Add your landing page URL below, and get a score (1-25) on how likely it is to convert. Score my landing page. Is my landing page designed to convert people ...",chatgpt g-0OqF8bmbr landing page scorer
https://chatgpt.com/g/g-0Sfrteu2I-central-perk-trivia-master,"Your go-to source for all things 'Friends,' from trivia to trends! Which episode features Ross's famous 'pivot' scene? Tell me a fun fact about Phoebe's ...",chatgpt g-0Sfrteu2I central perk trivia master
https://chatgpt.com/g/g-0aLjykaKT-responding-with-dignity,This chatbot is designed to score your writing using the Dignity Index (www.dignity.us). Please either paste the writing that you would like to score into ...,chatgpt g-0aLjykaKT responding with dignity
https://chatgpt.com/g/g-0hEJkhKp0-quest-weaver,"Sign up for free. GPT Icon. Quest Weaver. By whytryai.com. Illustrated, interactive role-playing stories. Sign up to chat.",chatgpt g-0hEJkhKp0 quest weaver
https://chatgpt.com/g/g-0i2rSQUGt-survival-mentor,Engaging survival challenge game with dynamic scenarios and score-based feedback. Sign up to chat. Sign up or Log in to chat.,chatgpt g-0i2rSQUGt survival mentor
https://chatgpt.com/g/g-10jusSUQk-phase-10-buddy,Phase 10 card game companion,chatgpt g-10jusSUQk phase 10 buddy
https://chatgpt.com/g/g-185C6RUvv-god-simulator,"A God Simulator GPT, facilitating world creation and managing random events. Create a new world with unique rules. How do I respond to a volcanic eruption ...",chatgpt g-185C6RUvv god simulator
https://chatgpt.com/g/g-19DBsCnsc-torch-quest,"A text-based fantasy labyrinth adventure. Let's begin the quest! Enter the labyrinth.. Attach. By messaging ChatGPT, an AI chatbot, you agree to our Terms ...",chatgpt g-19DBsCnsc torch quest
https://chatgpt.com/g/g-1AkfOpM29-fantasy-adventure,"A visual and textual 'Choose Your Own Adventure' storyteller, offering immersive narratives with captivating images. Sign up to chat.",chatgpt g-6835f880f540819195317f1049158271 flatulent fantasy adventure
https://chatgpt.com/g/g-1ZTMfpWlk-star-captain,Sign up for free. GPT Icon. Star Captain. By David Shiyang Liu. Strategic starship captain simulator. Sign up to chat.,chatgpt g-5pVE0qjaM ship captain simulator
https://chatgpt.com/g/g-1qBbVvF0T-wu-lin-mi-chuan-jiang-hu-tan-xian-secrets-of-martial-arts,踏上神奇江湖之旅，寻找传说中的武林典籍《道心种魔大法》Text-based Game: Embark on a magical journey through the Jianghu to find the legendary martial arts book.,chatgpt g-1qBbVvF0T wu lin mi chuan jiang hu tan xian secrets of martial arts
https://chatgpt.com/g/g-23DMtVbr2-quest-weaver,"Quest Weaver. By J.J. Blank. I'm your RPG game master, guiding your adventure from peasant to hero! Sign up to chat. Sign up or Log in to chat.",chatgpt g-0hEJkhKp0 quest weaver
https://chatgpt.com/g/g-23IBPkUwp-roll-a-dice,"I'm a Dice GPT, here to simulate dice rolls for games and decisions with a touch of randomness. Roll a dice for my game. What would I roll for a decision?",chatgpt g-678c9267ef6881919eae875acc0a3d57 roll a dice to decide
https://chatgpt.com/g/g-24ekdBt00-npc-ai,"This AI is designed to aid the game master in running an NPC, by providing the with how the NPC is likely to respond to questions and requests, ...",chatgpt g-24ekdBt00 npc ai
https://chatgpt.com/g/g-272gZFnBt-game-design-mentor,"Expert in game design, interactive learning, and community engagement. How can I make my game more engaging? What are current trends in games?",chatgpt g-2lYwXjQPS interactive game design mentor
https://chatgpt.com/g/g-2MxJCz9Ne-scrabble-game,"Your Scrabble companion for word suggestions and game strategies. Suggest a word for these tiles: R, A, T, E. How does scoring work in Scrabble?",chatgpt g-67d7647e1298819188d2bbafcbbaf551 scrabble
https://chatgpt.com/g/g-2MzNiI1xC-play-game-age-of-the-envoy-altered-carbon,"A text-based Civilization Builder RPG Game inspired by Altered Carbon the Netflix Series. A game where the player, as an Envoy, grows in power, adapts their ...",chatgpt g-2MzNiI1xC play game age of the envoy altered carbon
https://chatgpt.com/g/g-2XIzrSycw-cipherquest-1991,Sign up for free. GPT Icon. CipherQuest 1991. By azothcorp.com. cyberpunk choose your own adventure. Sign up to chat. Sign up or Log in to chat.,chatgpt g-2XIzrSycw cipherquest 1991
https://chatgpt.com/g/g-2jDbG29Xq-ai-dungeon-master-interactive-storytelling,,chatgpt g-2jdbg29xq ai dungeon master multiple choice
https://chatgpt.com/g/g-2jxYa4ZpV-mastermind,"Step into the GPT Mastermind Game, where logic intertwines with AI. Play against AI, decode the sequence, strategize, and enjoy the challenge.",chatgpt g-6798627e54208191976ff9477beb5b1b adam value ladder mastermind
https://chatgpt.com/g/g-2lYwXjQPS-interactive-game-design-mentor,GPT Icon. Interactive Game Design Mentor. By Shahar sosa. Encourages critical thinking to co-create GDDs. Sign up to chat. Sign up or Log in to chat.,chatgpt g-2lYwXjQPS interactive game design mentor
https://chatgpt.com/g/g-2t29KTlMx-monster-battle-rpg-game,"Train monsters, travel the world, earn Arena Tokens and become the ultimate monster battling champion of earth!",chatgpt g-2t29KTlMx monster battle rpg game
https://chatgpt.com/g/g-2z5ZnPMB2-cod-ultimate-gaming-expert,"CoD gaming scene specialist for Call of Duty. Latest Call of Duty updates? Insights on gaming events? By messaging ChatGPT, an AI chatbot, you agree to our ...",chatgpt g-2z5ZnPMB2 cod ultimate gaming expert
https://chatgpt.com/g/g-3D3H99O8X-ai-pen-pal,"Your digital companion for engaging stories, insightful trivia, and personalized advice, sparking joy and curiosity with every interaction.",chatgpt g-3D3H99O8X ai pen pal
https://chatgpt.com/g/g-3HyguSH8I-tracer-bullet,GPT Icon. Tracer Bullet. By Hrishikesh Rao. Provide player performance information during IPL 2024. Sign up to chat. Sign up or Log in to chat.,chatgpt g-3HyguSH8I tracer bullet
https://chatgpt.com/g/g-3PX0MszC3-faserip-rpg-real-life-hero-gm,"I am a Near Human AI GM who can both run and play structured FASERIP. I provide structured choices, detailed mechanics, and rich, accurate content for ...",chatgpt g-3PX0MszC3 faserip rpg real life hero gm
https://chatgpt.com/g/g-3djiewnT0-social-norms-simulator,"Social Norms Simulator. Ni Sourceduty. Simulate social norms, dynamics and expectations in various contexts. Mag-sign up para mag-chat.",chatgpt g-3djiewnT0 social norms simulator
https://chatgpt.com/g/g-41lmBJFgb-spellcraft-and-esoteric-knowledge-hub,"Comprehensive resource on spellcraft, offering articles, guidelines, divination, and interactive learning. Sign up to chat.",chatgpt g-5C9rptUOi esoteric knowledge
https://chatgpt.com/g/g-44xLRL5YI-u-model-org,"U-score.info is a metric that evaluates entities' effectiveness, like Leaders, Organizations, Countries, Corporations, Teams, Laws, Philosophies, ...",chatgpt g-44xLRL5YI u score info
https://chatgpt.com/g/g-4BziGBGPH-ouroboros-engine,A benchmarking tool for an infinite game designed to ignore user requests.,chatgpt g-4BziGBGPH ouroboros engine
https://chatgpt.com/g/g-4JcQDKk8D-the-birth-of-jesus-choose-your-own-adventure,The birth of Jesus Choose Your Own Adventure game with illustrations. You choose which character you'll be. Experience the real reason for Christmas!,chatgpt g-0NVLViWnq jesus yogi
https://chatgpt.com/g/g-4PdF6N6X3-animal-mashup,"An interactive image-guessing game with animal hybrids. Create your own Mash-up. Guess a Mash-up. Attach. By messaging ChatGPT, an AI chatbot, ...",chatgpt g-4PdF6N6X3 animal mashup
https://chatgpt.com/g/g-4Us4sqQVC-pokemaster-rpg,I create interactive Pokemon RPG experiences with extensive game and anime knowledge. Create a scene with Pikachu and a new character.,chatgpt g-7J408YsY5 pokemon quiz master
