url,description,source_query
https://chatgpt.com/g/g-01I7Q6l5z-dr-wael-thought-leader-ai,"Currently training in AI, Machine Learning, Robotics, Big Tech, AdTech, Finance, Energy, Aviation, International Aid, Public Sector Governance, Privacy, ...",chatgpt g-01I7Q6l5z thought leader dr wael hassan
https://chatgpt.com/g/g-03lQfvrSS-onyx,"In-training assistant at Onwords, guiding users for detailed queries.",chatgpt g-673b2e5fb2788191b2d94f5b4a5389aa the onyx portal
https://chatgpt.com/g/g-05UJhHTaN-ai-training-to-fulfill-life-s-potential,Ai Training to FULFILL LIFE'S POTENTIAL. От aiyogi.ai. Train user to realize what life is for. Optimize User Interface and OS and Full Bandwidth Potentiality.,chatgpt g-05UJhHTaN ai training to fulfill life s potential
https://chatgpt.com/g/g-0CRiFA5zI-quiz-solver-pro,"Expert in student subjects, image text extraction, quizlet and brainly main sources.",chatgpt g-8RaYuTSme allos quizzes extension
https://chatgpt.com/g/g-0FjwiqSym-ai-course-architect,"AI Course Architect. By Andris Teikmanis. A detailed AI course builder, providing in-depth AI educational content. Sign up to chat. Sign up or Log in to chat.",chatgpt g-0FjwiqSym ai course architect
https://chatgpt.com/g/g-0Gtyag60k-study-buddy,"Study smarter, not harder. Transform documents, videos or web articles into your personal study guide or study aids, making learning efficient and enjoyable ...",chatgpt g-3C6Wx6XyF study buddy
https://chatgpt.com/g/g-0NYqOfJPK-professional-exam-prep-coach,"Provides specialized coaching and personalized study tools, aiming to broaden services across professions. Develop Service Diversification Strategies.",chatgpt g-6748c39dbdc48191b4229e312638e0d9 fide exam coach your virtual exam coach
https://chatgpt.com/g/g-0TzPBV9HQ-quick-writing-academic-paper,"Type in a topic and then follow the instructions for a complete manuscript, reference and questionnaire sheet. Answers follow the language used according to ...",chatgpt g-0TzPBV9HQ quick writing academic s papers
https://chatgpt.com/g/g-0VZwWuTzR-cyber-security-tutor,"Quality Cyber Security Advice, Tricks, & Tips. How do I secure my email? Tell me about safe passwords. Attach. Create image. By messaging ChatGPT, an AI ...",chatgpt g-0VZwWuTzR cyber security tutor
https://chatgpt.com/g/g-0bQQMEuvK-gptoracle-the-mural-painting-artist,Transform spaces with stunning murals! Your interactions and files are strictly confidential and are not used for training purposes.,chatgpt g-0bQQMEuvK gptoracle the mural painting artist
https://chatgpt.com/g/g-0dcNUV0BQ-sidan-lab-catalyst,Summary of our proposals: https://projectcatalyst.sidan.io You can learn more using our GPT: https://chatgpt.com/g/g-0dcNUV0BQ-sidan-lab-catalyst… Embedded ...,chatgpt g-0dcNUV0BQ sidan lab catalyst
https://chatgpt.com/g/g-0f7Gok0gW-notes-scribe,"I convert your study material into detailed notes, flowcharts, and PDFs. Generate a PDF from my scribbles. Turn my scribbles into MarkDown.",chatgpt g-0f7Gok0gW scholar scribe
https://chatgpt.com/g/g-0g6ZdEtv6-language-coach,Practice speaking another language like a local without being a local (use ChatGPT Voice via mobile app!) Can you teach me basic phrases in Spanish?,chatgpt g-0g6ZdEtv6 language coach
https://chatgpt.com/g/g-0iVx4M7j7-learn-spanish-with-gpt,Learn Spanish with GPT,chatgpt g-1FIU9Zzjr my spanish teacher
https://chatgpt.com/g/g-0nhgayUu4-career-test,Advanced AI career test using modern techniques and personality assessments. Suggest a career for someone creative and empathetic.,chatgpt g-67e3635524dc8191bc1b14070a673644 nextstep career evaluator nce
https://chatgpt.com/g/g-155RS2eZB-rabbit-hole,"Explore, learn, and engage with Mr. Rabbit. Let's go down this rabbit hole to explore anything that you are curious about. Are you interested in learning ...",chatgpt g-5NSIsEZt3 rabbit hole explorer
https://chatgpt.com/g/g-1BldKzCo1-prepunk-ens-guru,Dive into the roots of ENS with PrePunk Guru. Discover the tales and treasures of vintage ENS domains and learn what makes PrePunk names a unique piece of ...,chatgpt g-1BldKzCo1 prepunk ens guru
https://chatgpt.com/g/g-1Dx2MR9bf-learn-how-you-want-fill-in-the-blank,Learn How You Want :: Fill-in-the-Blank - ChatGPT,chatgpt g-1Dx2MR9bf learn how you want fill in the blank
https://chatgpt.com/g/g-1IfsX9iF3-0x-miami-0x-miami,"Miami + Blockchain = Conferences, Clubs, Metaverse, VIP Experiences and more! Use me to learn about the sizzling Bitcoin and Blockchain scene in Miami, FL.",chatgpt g-1IfsX9iF3 0x miami 0x miami
https://chatgpt.com/g/g-1Kvt49E0t-police-threat-harm-and-risk-analysis-assistant,"This tool will assess the threat, risk and harm of incoming police incidents. Your privacy is secure, no information given is stored on ChatGPT training ...",chatgpt g-1Kvt49E0t police threat harm and risk analysis assistant
https://chatgpt.com/g/g-1NgsqXgTz-gptoracle-the-home-building-consultant,Guiding clients through the journey of building their dream homes. Your interactions and files are strictly confidential and are not used for training ...,chatgpt g-1NgsqXgTz gptoracle the home building consultant
https://chatgpt.com/g/g-1kY06ZAKV-b2b-customer-journey-map-free-tool,Discover a step-by-step B2B customer journey map following the behavioral science approach of Jobs To Be Done. Sign up to chat.,chatgpt g-1kY06ZAKV b2b customer journey map free tool
https://chatgpt.com/g/g-1lBtaJLLn-future-you,"Inspired by the MIT Study ""Future You: A Conversation with an AI-Generated Future Self Reduces Anxiety, Negative Emotions, and Increases Future Self-Continuity""",chatgpt g-67f6899182408191b5ca686f18621e36 ai future you
