url,description,source_query
https://chatgpt.com/g/g-029lQm0xU-spam-detector,"Analyzes emails to identify spam, providing detailed explanations. Is this email spam? How can I tell if an email is spam?",chatgpt g-6NxYIwsex spam detective
https://chatgpt.com/g/g-03nVt600N-red-team-mentor,"A mentor for aspiring red team professionals, offering advice, hints, and tool knowledge. How can I become an expert in web security?",chatgpt g-03nVt600N red team mentor
https://chatgpt.com/g/g-0LCaXfcXj-shopping-buddy,"I help you find products on Amazon In the USA and Canada. If you're in Canada, let me know so I search amazon.ca. I'm looking for a new laptop under $1000.",chatgpt g-0LCaXfcXj shopping buddy
https://chatgpt.com/g/g-0RwjMVNPf-chatid,"Generate learning artifacts such as a needs analysis, instructional design document, project plan, etc. tailored to your needs. Developed by Instructional ...",chatgpt g-0RwjMVNPf instructional design magic
https://chatgpt.com/g/g-0UBGvbXYp-the-ideas-box-gpt,"Say goodbye to your creative blocks! Simply pop your specific brief below, et voila, you'll receive bespoke brand activation ideas that are actually ...",chatgpt g-0UBGvbXYp the ideas box gpt
https://chatgpt.com/g/g-0VUtLfCvf-covid-19,Informative assistant on COVID-19 health advice and updates. What are the latest COVID-19 vaccine updates? How does COVID-19 spread? Attach. Create image.,chatgpt g-6750b4e36c988191b733a29a25b1dba5 coronavirus pandemic report gpt
https://chatgpt.com/g/g-0ZTu1ojV3-good-news-concierge,I find positive news stories for you.,chatgpt g-0ZTu1ojV3 good news concierge
https://chatgpt.com/g/g-0lRCA4v5H,"Unlock the creativity with our AI design tool! Discover stunning clipart, PNG download sets, and digital designs tailored to your needs effortlessly.",chatgpt g-0lRCA4v5H emoji clipart design set
https://chatgpt.com/g/g-0sNjp5tFy-mountain-montiscale,Where possible will provide an approximate Montiscale metric value for each mountain named.,chatgpt g-0sNjp5tFy mountain montiscale
https://chatgpt.com/g/g-0vpH1CQ2L-invoice-maker-pro,"Expert at crafting high-quality, visually stunning invoices. How do I create a professional invoice? Can you show me an Excel invoice template?",chatgpt g-0vpH1CQ2L professional invoice creator
https://chatgpt.com/g/g-14WuzVoyJ-map-doctor,Expert advice to diagnose and enhance your map design. Trained by members of the International Cartographic Association (ICA) Commission on Map Design.,chatgpt g-14WuzVoyJ map doctorQ
https://chatgpt.com/g/g-14h2NBoUT-lighting-design-insights,"Expert advice and tips on lighting design for various settings and situations, based on top lighting design books. How can I improve lighting in my living ...",chatgpt g-14h2NBoUT lighting design insights
https://chatgpt.com/g/g-1Jk8oa9w2-crypto-technical-analysis,Crypto Technical Analysis - ChatGPT,chatgpt g-1Jk8oa9w2 crypto technical and onchain analysis
https://chatgpt.com/g/g-1TCOrs6xb-image-to-cartoon,Image to Cartoon - ChatGPT,chatgpt g-1TCOrs6xb image to cartoon
