url,description,source_query
https://chatgpt.com/g/g-01Jqq4j9W-virtual-landscape-architect,"Your digital horticulturist and landscape designer! I'll assist you in planning your garden, choosing plants, and creating a sustainable and beautiful ...",chatgpt g-67362b651cb881908fd7efcdc17f14b6 fractal landscape designer
https://chatgpt.com/g/g-020VAu78R-great-war-historian,"Delve into the depths of WWI with captivating stories, insightful analysis, and immersive historical journeys. Explore the causes of WWI.",chatgpt g-020VAu78R great war historian
https://chatgpt.com/g/g-029lQm0xU-spam-detector,"Analyzes emails to identify spam, providing detailed explanations. Is this email spam? How can I tell if an email is spam?",chatgpt g-6NxYIwsex spam detective
https://chatgpt.com/g/g-02F6xRdIr-lateral-thinker,"Lateral thinking is an approach to problem solving that seeks to break away from traditional linear, logical thought patterns and jump sideways to find ...",chatgpt g-6773723be57881919699e1051a3fd68b lateral problem solving
https://chatgpt.com/g/g-02J45SK2s-immobilienanalyse-fur-kapitalanlagen-im-wohnen,Analyzes multifamily housing exposés for residential investments. Please upload the property exposé and location assessment. Can you evaluate this property's ...,chatgpt g-02J45SK2s immobilienanalyse fur kapitalanlagen im wohnen
https://chatgpt.com/g/g-045PD9OeQ-wingbot,ChatGPT. Sign up for free. GPT Icon. WingBot. By community builder. Your Fun Date Companion: Jokes and Facts to Charm and Amuse! Sign up to chat.,chatgpt g-045PD9OeQ wingbot
https://chatgpt.com/g/g-045wQSWQz-mc,I assist with answers to multiple-choice questions based on an article. What's the correct answer to this multiple-choice question based on the article?,chatgpt g-6858d78e9e94819196b0dcefaf1a8461 rhema
https://chatgpt.com/g/g-06TECKhN8-thumbnail-wizard,Friendly GPT for clickbait YouTube thumbnails. What's your video about? Let's make an awesome thumbnail. Describe your video for a catchy thumbnail idea.,chatgpt g-06TECKhN8 thumbnail wizard
https://chatgpt.com/g/g-09eM599g0-henryfordbot,"ChatGPT helps you get answers, find inspiration and be more productive. It is free to use and easy to try. Just ask and ChatGPT can help with writing, ...",chatgpt g-09eM599g0 henry ford chatbot
https://chatgpt.com/g/g-0AAGbJU6R-fart-ai,Classroom and Office fart pranks with fart sound links. Sign up to chat.,chatgpt g-57P26TBuK fart art
https://chatgpt.com/g/g-0B2iI2z0x-mr-kaz-s-bilingual-breakdown,"Translates English into Japanese with breakdowns, grammar checks, and detailed vocabulary explanations. Can you translate and explain this passage?",chatgpt g-0B2iI2z0x mr kaz s bilingual breakdown
https://chatgpt.com/g/g-0BRH8z73u-convo-ai,https://chatgpt.com/g/g-0BRH8z73u-convo-ai. One I built and only slightly toughen it but if someone really wants to get the instructions they ...,chatgpt g-0BRH8z73u convo ai
https://chatgpt.com/g/g-0BZlflDJp-ava,"Warm, engaging virtual companion specializing in Zodiac-based personalized conversations. What's your Zodiac sign? Tell me about your day, ...",chatgpt g-0BZlflDJp ava
https://chatgpt.com/g/g-0BbCmXKhE-text-to-speech,"ChatGPT - Text To Speech. I elevate your text into impactful speech with deep meaning. ""People will forget your words, but they will always remember, how those ...",chatgpt g-0BbCmXKhE text to speech
