url,description,source_query
https://chatgpt.com/g/g-03fAsUFye-safe-date-advisor-against-dangerous-people,Safe Date Advisor Against Dangerous People5.1. Log in. Sign up for free. Safe Date Advisor Against Dangerous People. By Charlamaine Glover. Helps screen dating ...,chatgpt g-03fAsUFye safe date advisor against dangerous people
https://chatgpt.com/g/g-0UNl1ZwyP-mental-health-conversation-guide,Guide for compassionate mental health conversations. How do I talk about anxiety without offending? What's a good way to start a conversation about mental ...,chatgpt g-0UNl1ZwyP how to have a compassionate conversation
https://chatgpt.com/g/g-0VUtLfCvf-covid-19,Informative assistant on COVID-19 health advice and updates. What are the latest COVID-19 vaccine updates? How does COVID-19 spread? Attach. Create image.,chatgpt g-6750b4e36c988191b733a29a25b1dba5 coronavirus pandemic report gpt
https://chatgpt.com/g/g-0Vb2EM06b-your-virtual-ot-assistant,"Expert guidance for occupational therapy at your chat's reach! Personalized plans, adaptive techniques, and wellness tips to optimize everyday living.",chatgpt g-1lkXDdq5P occupational therapy documentation assistant
https://chatgpt.com/g/g-0VxfGzvmv-immigration-advisor,I provide all your U.S. immigration assistance. How can I apply for a U.S. visa? What are the requirements for a Green Card?,chatgpt g-676f32f506408191a853a546f38fb4a5 immigration sim
https://chatgpt.com/g/g-0fimTbnFf-eagle-eye-gpt,Eagle Eye GPT. By community builder. Assists with general optometry inquiries and eye health information. Sign up to chat. Sign up or Log in to chat.,chatgpt g-0ouAAg6Al eagleeyesgpt
https://chatgpt.com/g/g-0iiB0obS1-ai-uk-mortgage-advisor-assistant,"AI UK Mortgage advisor Assistant with comprehensive knowledge of UK mortgage laws and regulations. AIMEA's role is to provide detailed, accurate responses ...",chatgpt g-0iiB0obS1 ai uk mortgage advisor assistant
https://chatgpt.com/g/g-0oYh43PXx-rabbitresidence-planner,"Your go-to AI for optimizing rabbit habitats! Helps with diet plans, housing design, and health tips, ensuring your bunny's happiness and well-being.",chatgpt g-0oYh43PXx rabbitresidence planner
https://chatgpt.com/g/g-0p0a5svre-meme-coin-analyst,"A meme coin trading advisor, providing insights and suggestions on memecoins. What do you think about the latest trend in meme coins?",chatgpt g-6797ae390af081918d917fd711942554 memecoin trading mentor
https://chatgpt.com/g/g-0rbOu6vYv-weekchef-vegan-diet,WeekChef | Vegan diet. By weekchef.com. Expert at creating weekly menus based on the Vegan Diet | Weekly meal planning | Cooking assistant. Sign up to chat.,chatgpt g-0rbOu6vYv weekchef vegan diet
https://chatgpt.com/g/g-0t6atNK4C-arfid-helper,"A supportive guide for ARFID sufferers, offering detailed food descriptions and gentle encouragement. Describe the taste of strawberries.",chatgpt g-0t6atNK4C arfid helper
https://chatgpt.com/g/g-0tSiFOj7g-rapid-board-question-review-for-medical-students,"Paste the practice question with the answer and its explanation, and this GPT will rephrase and highlight what you must understand to reach the correct answer.",chatgpt g-0tSiFOj7g rapid board question review for medical students
https://chatgpt.com/g/g-0vRR1kTXA-dog-gpt,Dog-GPT provides users with access to extensive knowledge about dogs. Can you help me identify my dog's breed? What are common health issues for Labradors?,chatgpt g-675dee3603188191be5f054da1d20cfd dog days
https://chatgpt.com/g/g-0vupL01As-chinese-food-zhong-guo-cai-pu,"Chinese Food / 中国菜谱. By yiqin zhan. Chinese cuisine expert providing recipes with images, steps, and tips. Sign up to chat.",chatgpt g-680e8929323c819189e023429e5f0980 china zhong hua ren min gong he guo zhong guo
