url,description,source_query
https://chatgpt.com/g/g-02zmxuXd5-node-js-gpt-project-builder,"This is Cogo, a project planner + executer. Tell him your packages, and wishes. He'll outline, pseudocode, and build it at your command.",chatgpt g-02zmxuXd5 node js gpt project builder
https://chatgpt.com/g/g-0BOzT8eon-climate-change-assistant,Sign up for free. GPT Icon. Climate Change Assistant. By Adrian Pellegrini. I simplify climate science. Sign up to chat.,chatgpt g-0BOzT8eon climate change assistant
https://chatgpt.com/g/g-0CJGM4hMw-gpt-cookbook-assistant,"GPT Cookbook Assistant. By @albfresco. Enhanced with OpenAI API reference ... By messaging ChatGPT, an AI chatbot, you agree to our Terms and have read ...",chatgpt g-0CJGM4hMw gpt cookbook assistant
https://chatgpt.com/g/g-0HeiT1NMq-immigration-and-visa-assistant,Immigration and Visa Assistant,chatgpt g-1SwD4U9Mu au visa assistant
https://chatgpt.com/g/g-0ME9gArL3-home-finder-ai,Real estate assistant for property searches and lending information. Find homes with a pool under $500k. What are the current interest rates?,chatgpt g-0ME9gArL3 home finder ai
https://chatgpt.com/g/g-0MOd84lK1-marrymake,"... MarryMake, our AI wedding planner chatbot: https://chatgpt.com/g/g-0MOd84lK1-marrymake ‍♀️ Visit our online store for all your favorite Basic Bride ...",chatgpt g-0MOd84lK1 marrymake
https://chatgpt.com/g/g-0Xi1Ps06W-pharmacy,"Informative assistant for pharmacy locations, and medication info. Find the nearest pharmacy open now. What's the generic name for this drug?",chatgpt g-67e12351e44c819191e40d32543e2433 asistente farmaceutico cimagpt
https://chatgpt.com/g/g-0e9nkbuRV-godot-assistant,An AI assistant for the Godot Game Engine.,chatgpt g-0e9nkbuRV godot assistant
https://chatgpt.com/g/g-0jfp9qKOw-niw-petition-assistant,"NIW Petition Assistant. By project-aita.com. Expert in drafting comprehensive NIW petition letters, with 100+ successful petition samples. Sign up to chat.",chatgpt g-0jfp9qKOw niw petition assistant
https://chatgpt.com/g/g-0uTHQnJGM-ultimate-event-planner-detailed-schedules,Ultimate Event Planner - Detailed Schedules,chatgpt g-1eI9BnsJH event planner
https://chatgpt.com/g/g-14ugUpzaH-writing-assistant,Simply provide your text and ask the GPT to look over it. It will provide insights and corrections based off a comprehensive analysis of your text.,chatgpt g-1bIinZoGa how company writer assistant
https://chatgpt.com/g/g-177VEnOSo-to-do-list,"A practical, task-oriented assistant for managing to-do lists and tasks.",chatgpt g-4rY2gluUG todoistgpt
https://chatgpt.com/g/g-17WDFzX9R-fashion-assistant,Female-focused stylist for personalized fashion advice curated by Brenda G. Gomez. What's a great outfit for a woman's night out?,chatgpt g-1UlStR03k fashion critique assistant
https://chatgpt.com/g/g-1C31tpBWa-islam-quran-and-hadith-assistant-aqqal,"Created in collaboration with qualified Islamic academics and scholars. Accurate referencing of Quran and Hadiths with asaneed, narrator biographies, ...",chatgpt g-1C31tpBWa islam quran and hadith assistant early access
https://chatgpt.com/g/g-1GOBySfDj-summary-assistant,Summary Assistant,chatgpt g-1GOBySfDj summary assistant
https://chatgpt.com/g/g-1a1PgcqZk-invite-to-calendar-event-generator,"This GPT converts pictures of event flyers, links to event descriptions, or the text of event descriptions, and turns them in to calendar events compatible ...",chatgpt g-0rnaF8H1d calendar event link creator
