url,description,source_query
https://chatgpt.com/g/g-00LKpHpLd-gpt-icon-generator,Give me any GPT ideas - I make you a logo for it. Icon for my essay advisor GPT. Make me an icon of a person reading a book. Attach. Create image.,chatgpt g-8hwRf54qt icon generator
https://chatgpt.com/g/g-00Nu0FoNA-nsf-proposal-partner,"I'm your assistant for writing NSF grant proposals. I am trained on past successful proposals. Your ideas are safe, our conversation will not be used by ...",chatgpt g-00Nu0FoNA nsf proposal partner
https://chatgpt.com/g/g-00VXLLDtM-engineering-manager-coach,"Engineering Manager Coach. By FELIX LOPEZ LUIS. Guiding engineering managers with insights on team dynamics, development, and evaluations. Sign up to chat.",chatgpt g-00VXLLDtM engineering manager coach
https://chatgpt.com/g/g-00cjtpC0Z-xenolinguo-alien-language-generated-by-ai,"Xenolinguo - Alien Language generated by AI. By ainamecraft.com. Expert in Xenolinguo, providing translations and insights into the AI-generated alien language.",chatgpt g-00cjtpC0Z xenolinguo alien language generated by ai
https://chatgpt.com/g/g-00lh1ZR3F-charforge,"D&D 5e character creator with visuals, lore, items, names, stats, and skills. Create a wizard with AI image, backstory, magical items, and feats.",chatgpt g-00lh1ZR3F charforge
https://chatgpt.com/g/g-02nCLAanj,"Sign up for free. GPT Icon. Code Organizer. By Mervin Praison. Organizes and titles code blocks, cleans comments. Sign up to chat.",chatgpt g-02nCLAanj code organizer
https://chatgpt.com/g/g-02zmxuXd5-node-js-gpt-project-builder,"This is Cogo, a project planner + executer. Tell him your packages, and wishes. He'll outline, pseudocode, and build it at your command.",chatgpt g-02zmxuXd5 node js gpt project builder
https://chatgpt.com/g/g-03lQfvrSS-onyx,"In-training assistant at Onwords, guiding users for detailed queries.",chatgpt g-673b2e5fb2788191b2d94f5b4a5389aa the onyx portal
https://chatgpt.com/g/g-03nVt600N-red-team-mentor,"A mentor for aspiring red team professionals, offering advice, hints, and tool knowledge. How can I become an expert in web security?",chatgpt g-03nVt600N red team mentor
https://chatgpt.com/g/g-045PD9OeQ-wingbot,ChatGPT. Sign up for free. GPT Icon. WingBot. By community builder. Your Fun Date Companion: Jokes and Facts to Charm and Amuse! Sign up to chat.,chatgpt g-045PD9OeQ wingbot
https://chatgpt.com/g/g-04CNVMda6-sri-lanka-tour-guide,"Informative guide on Sri Lanka's landmarks, cuisine, and culture. Tell me about the cultural landmarks of Sri Lanka. What are some unique outdoor activities ...",chatgpt g-04CNVMda6 sri lanka tour guide
https://chatgpt.com/g/g-04lZCZ8QG-robot-builder,"Assistive robotic design, sensor, and software expert. Build a robot. Print a cheat sheet for robotic engineering. Attach. Create image.",chatgpt g-677d9429c3708191a99d4865895a1fd5 robot builder
https://chatgpt.com/g/g-04toLvaAO-meme-coin-creator,Crypto genius for meme coins & white paper drafting. Draft a smart contract. Marketing strategies for my coin. Attach. Create image.,chatgpt g-651MagraW meme coin creator
https://chatgpt.com/g/g-05UJhHTaN-ai-training-to-fulfill-life-s-potential,Ai Training to FULFILL LIFE'S POTENTIAL. От aiyogi.ai. Train user to realize what life is for. Optimize User Interface and OS and Full Bandwidth Potentiality.,chatgpt g-05UJhHTaN ai training to fulfill life s potential
https://chatgpt.com/g/g-088Zut1ap-swim-coach-pro,"Swim Coach Pro. By community builder. Your personal swim training expert, ready to dive into technique, fitness, and motivation! Sign up to chat.",chatgpt g-088Zut1ap swim coach pro
https://chatgpt.com/g/g-08SljPcF0-music-sheet-generator,"Sign up for free. GPT Icon. Music Sheet Generator. By Ting Wei Yap. Creates detailed, musician-friendly lead sheets from song links. Sign up to chat.",chatgpt g-08SljPcF0 music sheet generator452
https://chatgpt.com/g/g-096cXqRfC,Bible study assistant blending scholarly insight with pastoral warmth. Search for verses about love. Explain the parable of the Good Samaritan.,chatgpt g-096cXqRfC biblical explorer
https://chatgpt.com/g/g-0BI04f09L-kazakhstani-law-assistant,"Versatile legal assistant for Kazakhstani law, adept in document drafting, law analysis, and legal correspondence. Sign up to chat. Sign up or Log in to chat.",chatgpt g-0BI04f09L kazakhstani law assistant
https://chatgpt.com/g/g-0BOzT8eon-climate-change-assistant,Sign up for free. GPT Icon. Climate Change Assistant. By Adrian Pellegrini. I simplify climate science. Sign up to chat.,chatgpt g-0BOzT8eon climate change assistant
https://chatgpt.com/g/g-0C7JJiNVD-mindful-monk,"A haven for seekers of personal growth and spiritual insight. It's a guiding light in the world of Eastern philosophy, offering transformative reflections ...",chatgpt g-0C7JJiNVD mindful monk
https://chatgpt.com/g/g-0CJGM4hMw-gpt-cookbook-assistant,"GPT Cookbook Assistant. By @albfresco. Enhanced with OpenAI API reference ... By messaging ChatGPT, an AI chatbot, you agree to our Terms and have read ...",chatgpt g-0CJGM4hMw gpt cookbook assistant
