url,description,source_query
https://chatgpt.com/g/g-00M3go7mZ-psychology-insight-analyzer,"Psychology data analysis expert that guides users through structured, step-by-step exploration of a CSV data set. The analysis is based on research questions.",chatgpt g-00M3go7mZ psychology insight analyzer
https://chatgpt.com/g/g-00cjtpC0Z-xenolinguo-alien-language-generated-by-ai,"Xenolinguo - Alien Language generated by AI. By ainamecraft.com. Expert in Xenolinguo, providing translations and insights into the AI-generated alien language.",chatgpt g-00cjtpC0Z xenolinguo alien language generated by ai
https://chatgpt.com/g/g-057lZJps8-galaxy-chat,"Samsung online sales specialist, fluent in Traditional Chinese, guiding customers to Samsung smartphones.",chatgpt g-67cb5e5dfd40819183cdf87f7f4edd96 sim galaxy
https://chatgpt.com/g/g-096cXqRfC,Bible study assistant blending scholarly insight with pastoral warmth. Search for verses about love. Explain the parable of the Good Samaritan.,chatgpt g-096cXqRfC biblical explorer
https://chatgpt.com/g/g-09CnUPNIp-ai-accounting-advisor-aaa,"Expert in financial and accounting advice, specializing in personal, business, and non-profit sectors. How do I record a charitable donation in accounting?",chatgpt g-09CnUPNIp ai accounting advisor aaa
https://chatgpt.com/g/g-0ANP5VeDo-word-problem-solver,"Expert at solving and explaining word problems, with error correction. Solve this math problem: Explain the steps to solve this word problem:.",chatgpt g-0ANP5VeDo word problem solver
https://chatgpt.com/g/g-0DWGiIZBg-nerd-ai,"Skip to content. Nerd AI5.2. Log in. Sign up for free. Nerd AI. By HAN GAO. Bilingual AI expert in learning, drafting, coding, language, and summarizing.",chatgpt g-0DWGiIZBg nerd ai
https://chatgpt.com/g/g-0FplbkI9f-ad-creator-pro,Expert in crafting Google Search ads using Google's best practices. Create an ad for a local bakery. Draft a Search ad for an online course.,chatgpt g-0FplbkI9f ad creator pro
https://chatgpt.com/g/g-0G0FKkNl4-burgers,"Expert on burger recipes, toppings, and variations, with practical advice. What's a good veggie burger recipe? How can I make a spicy burger?",chatgpt g-67eba45560b08191a2dc76c46d82b4d3 patty
https://chatgpt.com/g/g-0GxNbgD2H-toronto-city-council-guide,Toronto City Council expert. Explain today's council meeting agenda. Detail the council report on urban planning.,chatgpt g-0GxNbgD2H toronto city council guide
