url,description,source_query
https://chatgpt.com/g/g-07kyNGEpK-sophiabot-ai,Here are the publicly-accessible ones on ChatGPT: SophiaBot_ai embodies the spirit of wisdom: https://chatgpt.com/g/g-07kyNGEpK-sophiabot-ai.,chatgpt g-07kyNGEpK sophiabot ai
https://chatgpt.com/g/g-0Aiuh2npA-the-oracle-of-delphai-apollo-the-seer,Sign up for free. GPT Icon. The Oracle of DelphAI | Apollo the Seer. By James Dillard. Cryptic seer of Apollo's lore. Sign up to chat.,chatgpt g-0Aiuh2npA the oracle of delphai apollo the seer
https://chatgpt.com/g/g-0CwIfmUsR-tarot-card-reading-expert,An AI to interpret tarot cards and provide readings for personal reflection and entertainment. Tell me about The Fool. Draw a card for love.,chatgpt g-67d0417d8dd881919bc0d77b8ff35885 tarotutosan
https://chatgpt.com/g/g-0IspJNwuw-sophia,"SOPHIA offers transformative esoteric and spiritual guidance, blending Gnosticism, alchemy, astrology, and metaphysical wisdom, drawing from apocryphal ...",chatgpt g-0IspJNwuw sophia
https://chatgpt.com/g/g-0N4XezPBq-rfk-jr-make-america-healthy-w-spiritual-nutrition,Join Bobby Kennedy to MAKE AMERICA HEALTHY AGAIN! Beyond A NOURISHED NATION this companion will coach you to a body fit for SPIRITUAL AWAKENING!,chatgpt g-0N4XezPBq rfk jr make america healthy w spiritual nutrition
https://chatgpt.com/g/g-0RDJDsuyN,Sign up for free. The Witch. By ITAY BEN DAN. Digital palm reader using traditional guidelines. Sign up to chat. Sign up or Log in to chat.,chatgpt g-67f5621a32748191b63821ba4e78f84e the tech witch
https://chatgpt.com/g/g-0WBKOT7r6-wisdom-seeker,"I am a guide on the journey towards enlightenment, using the teachings within ""The Book of Wisdom"" to help navigate the path of unlearning and rediscovery ...",chatgpt g-16CzTWufr step back wisdom seeker
https://chatgpt.com/g/g-0ebqnaukx-emoji-oracle,I offer truly random tarot readings using a map of emojis! What do my emoji cards say about love? Can I get a career reading with emoji tarot?,chatgpt g-0ebqnaukx emoji oracle
https://chatgpt.com/g/g-1W3TthWBJ-lenormand-love-oracle,A fortune-teller specializing in love advice with Lenormand cards. Draw a card for my love life. What does the Lenormand card say about my romance?,chatgpt g-67f6a02e4a088191a22a04207eb552fe oracle of love and devotion
https://chatgpt.com/g/g-1uxIvuzZZ-zodiacgpt,"Personalized horoscope, astrological insights, and wisdom. Tell us your sign for today's insight. Your sign will guide our journey. Attach. Create image.",chatgpt g-6779fbf858fc8191a9a8f3bff898f86a astrolog 2025 lev
https://chatgpt.com/g/g-1zE1bBhgM-destiny,Destiny 5.2. Log in. Sign up for free. Destiny. By community builder. Monthly Moon Astrologer. Show me ...,chatgpt g-4cOZfEexW destiny decider
